City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cervo,ES,43.6702,-7.4101,67.96,80,66,7.72,broken clouds
80,Cape Town,ZA,-33.9258,18.4232,60.28,88,3,7.0,clear sky
81,Vaini,TO,-21.2,-175.2,73.56,94,40,8.05,scattered clouds
82,Querfurt,DE,51.3833,11.6,71.1,37,100,6.26,overcast clouds
83,Choszczno,PL,53.169,15.4205,64.81,65,12,6.6,few clouds
84,Dingle,PH,10.9995,122.6711,74.88,93,100,1.97,light rain
85,Nome,US,64.5011,-165.4064,56.16,58,20,9.22,few clouds
86,Mangan,IN,27.5167,88.5333,76.69,94,85,0.85,overcast clouds
87,Esperance,AU,-33.8667,121.9,53.06,90,100,9.22,light rain
88,Norman Wells,CA,65.282,-126.8329,74.32,45,25,3.04,scattered clouds
89,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,11.5,overcast clouds
90,Sao Filipe,CV,14.8961,-24.4956,75.51,81,59,14.61,broken clouds
91,Doka,SD,13.5167,35.7667,76.37,78,100,10.94,light rain
92,Torbay,CA,47.6666,-52.7314,77.88,72,100,1.99,overcast clouds
93,Mastic Beach,US,40.7668,-72.8521,85.44,76,100,1.01,overcast clouds
94,Paamiut,GL,61.994,-49.6678,42.48,89,100,7.38,overcast clouds
95,Sola,VU,-13.8833,167.55,81.05,77,75,22.64,broken clouds
96,Port Shepstone,ZA,-30.7414,30.455,65.37,80,0,15.32,clear sky
97,Kamenka,RU,51.3223,42.7678,65.86,83,38,1.72,moderate rain
98,Levski,BG,43.3667,25.1333,72.23,16,0,9.44,clear sky
99,Tiksi,RU,71.6872,128.8694,37.89,75,100,5.68,overcast clouds
100,Denizli,TR,37.8402,29.0698,79.79,36,0,10.33,clear sky
101,Kavaratti,IN,10.5669,72.642,82.54,74,100,19.33,overcast clouds
102,Lavrentiya,RU,65.5833,-171.0,46.92,98,100,10.51,light rain
103,Beringovskiy,RU,63.05,179.3167,48.58,66,4,28.27,clear sky
104,Mursalimkino,RU,55.0379,58.5585,60.04,86,43,0.69,scattered clouds
105,Narsaq,GL,60.9167,-46.05,61.02,67,99,9.75,overcast clouds
106,Provideniya,RU,64.3833,-173.3,52.12,92,96,6.8,overcast clouds
107,Kahului,US,20.8947,-156.47,83.97,62,20,20.71,few clouds
108,Mukhen,RU,48.1,136.1,62.19,88,100,2.86,overcast clouds
109,Bosaso,SO,11.2842,49.1816,95.43,36,5,15.79,clear sky
110,Tucurui,BR,-3.7661,-49.6725,89.76,44,29,3.65,scattered clouds
111,Albany,US,42.6001,-73.9662,90.77,43,96,1.99,overcast clouds
112,Aktau,KZ,43.65,51.2,79.38,55,0,9.78,clear sky
113,Okha,RU,53.5739,142.9478,53.33,92,100,14.81,overcast clouds
114,Yellowknife,CA,62.456,-114.3525,63.21,67,100,16.08,overcast clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,0,10.36,clear sky
116,Luis Correia,BR,-2.8792,-41.6669,87.8,74,75,11.5,broken clouds
117,Lasa,IT,46.6166,10.7002,69.13,73,3,2.01,clear sky
118,Dikson,RU,73.5069,80.5464,44.55,78,6,8.75,clear sky
119,Qianguo,CN,45.1171,124.8568,65.52,95,100,3.49,overcast clouds
120,Airai,TL,-8.9266,125.4092,52.75,83,37,3.0,scattered clouds
121,Acapulco,MX,16.8634,-99.8901,87.62,66,75,3.44,broken clouds
122,Beisfjord,NO,68.3751,17.5988,53.04,85,100,1.34,overcast clouds
123,Cruz,BR,-2.9178,-40.1717,84.78,65,59,17.85,broken clouds
124,Bethel,US,41.3712,-73.414,84.72,62,0,6.91,clear sky
125,Rafai,CF,4.95,23.9167,70.57,93,38,1.77,scattered clouds
126,Flinders,AU,-34.5833,150.8552,53.26,73,10,5.99,clear sky
127,Marsh Harbour,BS,26.5412,-77.0636,83.95,74,61,17.22,broken clouds
128,Tromso,NO,69.6496,18.957,49.37,93,75,5.75,light intensity shower rain
129,Mahebourg,MU,-20.4081,57.7,70.25,66,53,22.75,light rain
130,Korla,CN,41.7597,86.1469,76.75,30,0,6.91,clear sky
131,Cururupu,BR,-1.8283,-44.8683,85.69,60,42,5.95,scattered clouds
132,Champasak,LA,14.75,106.0,73.58,99,41,2.19,scattered clouds
133,Christchurch,NZ,-43.5333,172.6333,59.2,60,52,5.75,broken clouds
134,Saskylakh,RU,71.9167,114.0833,46.96,58,96,6.26,overcast clouds
135,Ancud,CL,-41.8697,-73.8203,43.23,84,100,19.53,light rain
136,Nanortalik,GL,60.1432,-45.2371,43.65,82,100,13.24,overcast clouds
137,College,US,64.8569,-147.8028,63.07,65,100,1.01,overcast clouds
138,Tucuma,BR,-0.1833,-50.05,85.35,66,99,6.46,overcast clouds
139,Tocopilla,CL,-22.092,-70.1979,65.77,62,19,9.44,few clouds
140,Maningrida,AU,-12.0667,134.2667,61.9,96,100,7.78,overcast clouds
141,Chuy,UY,-33.6971,-53.4616,51.42,65,0,11.12,clear sky
142,Nizwa,OM,22.9333,57.5333,85.05,59,100,6.22,overcast clouds
143,Kuytun,RU,54.3419,101.5036,54.0,93,87,6.35,overcast clouds
144,Saint George,US,37.1041,-113.5841,105.8,21,0,17.27,clear sky
145,Asau,RO,46.4333,26.4,67.12,58,4,4.92,clear sky
146,Lompoc,US,34.6391,-120.4579,84.85,68,0,14.97,clear sky
147,Karasjok,NO,69.4719,25.5112,53.4,87,100,8.12,overcast clouds
148,Port Blair,IN,11.6667,92.75,81.43,83,100,8.28,overcast clouds
149,Chokurdakh,RU,70.6333,147.9167,41.07,66,11,11.79,few clouds
150,Katsuura,JP,35.1333,140.3,77.41,89,99,15.66,overcast clouds
151,Padang,ID,-0.9492,100.3543,76.91,79,12,3.4,few clouds
152,Cairns,AU,-16.9167,145.7667,67.95,85,100,6.91,overcast clouds
153,Casablanca,MA,33.5928,-7.6192,77.22,78,9,5.99,clear sky
154,Chicama,PE,-7.8447,-79.1469,61.34,58,0,9.89,clear sky
155,Qaanaaq,GL,77.484,-69.3632,46.98,57,100,3.4,overcast clouds
156,Tura,IN,25.5198,90.2201,75.92,92,100,5.1,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,41.49,84,60,15.32,broken clouds
158,Honiara,SB,-9.4333,159.95,76.01,85,15,6.76,few clouds
159,Mackay,AU,-21.15,149.2,60.67,89,2,9.1,clear sky
160,Marawi,PH,7.9986,124.2928,68.99,96,99,3.56,overcast clouds
161,Adamovka,RU,51.5223,59.9396,72.36,61,100,6.4,overcast clouds
162,Mecca,SA,21.4267,39.8261,88.54,34,71,6.58,broken clouds
163,Yarada,IN,17.65,83.2667,82.72,89,75,9.22,mist
164,Cidreira,BR,-30.1811,-50.2056,56.43,64,67,12.48,broken clouds
165,Liverpool,GB,53.4106,-2.9779,84.88,37,0,11.5,clear sky
166,Gouyave,GD,12.1646,-61.7296,80.28,81,14,21.72,few clouds
167,Port Hardy,CA,50.6996,-127.4199,59.23,77,21,10.67,few clouds
168,Eyemouth,GB,55.8713,-2.0901,74.23,61,100,9.37,overcast clouds
169,Nikolskoye,RU,59.7035,30.7861,58.91,95,100,5.19,overcast clouds
170,Catamarca,AR,-28.4696,-65.7852,71.58,33,0,7.0,clear sky
171,Kizukuri,JP,40.8061,140.3861,67.1,99,99,2.13,overcast clouds
172,Ahipara,NZ,-35.1667,173.1667,48.4,84,91,5.35,overcast clouds
173,Faya,SA,18.3851,42.4509,68.52,41,30,5.03,scattered clouds
174,Iglino,RU,54.8324,56.4126,73.49,83,100,3.2,overcast clouds
175,Leo,BF,11.1,-2.1,75.13,86,74,1.32,broken clouds
176,Dawei,MM,14.0833,98.2,77.18,91,99,1.34,overcast clouds
177,Grand Gaube,MU,-20.0064,57.6608,70.38,61,1,8.99,clear sky
