City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Merrill,US,86.11,scattered clouds,45.1805,-89.6835,Prairie Motel
232,Feijo,BR,88.52,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
236,Jackson,US,81.16,clear sky,42.4165,-122.8345,Agate Village Apartments
237,Lorengau,PG,81.63,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
238,Ponta Do Sol,PT,76.01,clear sky,32.6667,-17.1,Hotel do Campo
242,Bacarra,PH,80.1,overcast clouds,18.2529,120.6125,VYBE Hotel
244,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
251,Tongzi,CN,75.63,overcast clouds,28.7829,105.0877,Jiayuan Hotel
257,Candido Mendes,BR,82.47,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
261,Piacabucu,BR,77.32,clear sky,-10.4056,-36.4344,Piaçabuçu News
263,Turayf,SA,88.23,clear sky,31.6725,38.6637,Turaif
267,Botwood,CA,82.9,overcast clouds,49.1499,-55.3482,Exploits Inn & Suites
269,Back Mountain,US,85.32,overcast clouds,41.3359,-75.9963,Sunset Lodge
275,Thompson,CA,80.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
276,Lardos,GR,89.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
278,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
280,Flin Flon,CA,82.74,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
281,Constantine,DZ,87.21,clear sky,36.365,6.6147,Grand Hotel Cirta
282,Palmer,US,89.78,scattered clouds,42.1584,-72.3287,Wedgewood Motel
284,Tamandare,BR,76.46,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
288,Sinnamary,GF,81.97,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
289,Sulangan,PH,81.99,overcast clouds,11.1373,123.7228,Maia's Beach Resort
291,Matagami,CA,83.75,overcast clouds,49.7502,-77.6328,Motel Le Caribou
294,Namatanai,PG,79.03,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
297,Veraval,IN,80.78,overcast clouds,20.9,70.3667,Lords Inn Somnath
300,Axim,GH,75.04,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
306,Sohag,EG,89.82,clear sky,26.557,31.6948,Civil Registry - Sohag 1
311,Bacolod,PH,76.78,very heavy rain,10.6667,122.95,Planta Hotel & Residences
312,Inhapim,BR,79.95,overcast clouds,-19.5492,-42.12,hotel Carreiro em Inhapim/MG
313,Santa Luzia,BR,81.5,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
316,Lucapa,AO,76.82,overcast clouds,-8.4192,20.7447,Lírio Mendes
318,Matay,EG,88.5,clear sky,28.419,30.7792,Nag Aespen
325,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
327,Diffa,NE,75.96,broken clouds,13.3154,12.6113,ProDAF/Diffa
328,Lewistown,US,84.15,few clouds,40.5992,-77.5714,Quality Inn & Suites
329,Freeport,US,86.31,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
331,Tual,ID,78.64,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
333,Massaguet,TD,76.69,overcast clouds,12.4755,15.4365,Alwatane
